"name","group"
"press and stationery specialised seller","Shop sales assistants"
"marine chief engineer","Ships’ engineers"
"furniture upholsterer","Upholsterers and related workers"
"audit supervisor","Accountants"
"communication manager","Advertising and public relations managers"
"warehouse order picker","Freight handlers"
"IT auditor","Systems analysts"
"welding coordinator","Welders and flamecutters"
"police inspector","Police inspectors and detectives"
"community social worker","Social work and counselling professionals"
"footwear hand sewer","Shoemakers and related workers"
"dip tank operator","Metal finishing, plating and coating machine operators"
"cultural centre director","Sports, recreation and cultural centre managers"
"radio producer","Film, stage and related directors and producers"
"sound artist","Broadcasting and audiovisual technicians"
"scanning operator","Pre-press technicians"
"wholesale merchant in clothing and footwear","Trade brokers"
"nailing machine operator","Woodworking-machine tool setters and operators"
"glass installation supervisor","Construction supervisors"
"pension scheme manager","Financial and insurance services branch managers"
"sophrologist","Physiotherapy technicians and assistants"
"real estate leasing manager","Real estate agents and property managers"
"ICT network engineer","Computer network professionals"
"prepress operator","Pre-press technicians"
"mattress making machine operator","Textile, fur and leather products machine operators not elsewhere classified"
"choirmaster/choirmistress","Musicians, singers and composers"
"podiatrist","Health professionals not elsewhere classified"
"airspace manager","Professional services managers not elsewhere classified"
"social security administrator","Policy and planning managers"
"art model","Fashion and other models"
"crane technician","Agricultural and industrial machinery mechanics and repairers"
"metal polisher","Metal polishers, wheel grinders and tool sharpeners"
"telecommunications equipment maintainer","Information and communications technology installers and servicers"
"software architect","Software developers"
"violin maker","Musical instrument makers and tuners"
"pulp control operator","Process control technicians not elsewhere classified"
"brokerage firm director","Financial and insurance services branch managers"
"cytology screener","Medical and pathology laboratory technicians"
"cabin crew instructor","Vocational education teachers"
"lottery operator","Bookmakers, croupiers and related gaming workers"
"dental hygienist","Dental assistants and therapists"
"precision mechanic","Toolmakers and related workers"
"technical sales representative in the textile machinery industry","Technical and medical sales professionals (excluding ICT)"
"clothing fashion designer","Product and garment designers"
"costume designer","Product and garment designers"
"assistant clinical psychologist","Health associate professionals not elsewhere classified"
