"name","group"
"nitrator operator","Chemical products plant and machine operators"
"financial manager","Finance managers"
"distillation operator","Chemical products plant and machine operators"
"wave soldering machine operator","Electrical and electronic equipment assemblers"
"leather production manager","Manufacturing managers"
"security guard","Security guards"
"legal consultant","Legal professionals not elsewhere classified"
"animal embryo transfer technician","Veterinary technicians and assistants"
"biology technician","Life science technicians (excluding medical)"
"medium","Astrologers, fortune-tellers and related workers"
"leather goods warehouse operator","Stock clerks"
"import export specialist in wood and construction materials","Clearing and forwarding agents"
"aquaculture cage technician","Aquaculture workers"
"import export specialist in agricultural raw materials, seeds and animal feeds","Clearing and forwarding agents"
"environmental mining engineer","Environmental engineers"
"sugar refinery operator","Food and related products machine operators"
"construction quality manager","Civil engineering technicians"
"utilities inspector","Physical and engineering science technicians not elsewhere classified"
"picture archiving and communication systems administrator","Medical records and health information technicians"
"equine dental technician","Veterinary technicians and assistants"
"credit manager","Credit and loans officers"
"printing textile technician","Printers"
"prison officer","Prison guards"
"bicycle mechanic","Bicycle and related repairers"
"building electrician","Building and related electricians"
"monk/nun","Religious associate professionals"
"import export specialist in meat and meat products","Clearing and forwarding agents"
"occupational therapist","Health professionals not elsewhere classified"
"beauty salon manager","Sports, recreation and cultural centre managers"
"digital games tester","Software and applications developers and analysts not elsewhere classified"
"food analyst","Chemical and physical science technicians"
"fisheries refrigeration engineer","Ships’ engineers"
"child care worker","Child care workers"
"tufting operator","Weaving and knitting machine operators"
"automotive engineering drafter","Draughtspersons"
"front line medical receptionist","Receptionists (general)"
"university department head","Education managers"
"cocoa press operator","Food and related products machine operators"
"soap drier operator","Chemical products plant and machine operators"
"jewellery designer","Product and garment designers"
